01000155020224602112020203911123241191960015000602       0420241   330005A    1000000000000002       2        00062346761202303300
01000156020214804072023208431250008196520030000402       0320241   400001A    1000000000000002       2        00055236451202303300
01000157020224102012023204811122288151960025000052       8888881   600005A    1000000000000002       2        00052875881202303300
01000158020724502062021404091123136191960020000392       0620241   900001AC   0800000200000002       2        00061465381202303300
010001590202234020920212100911221481919600210004810920232      1   210005A    100000000000000101000002        00058193231202303300
01000160020213702052022204611121324193160040000412       0520241  1550005ABC  0750150100000002       2        00063910531202303300
01000161020225902072023210611123324191960020000262       0720251   400005A    100000000000000101000002        00044187551202303300
01000161030313101062023210221123324122860060000032       0620251   300005A    1000000000000002       2        00057423721202303300
01000162020323501022023404611123324191810020000072       0220251   480005A    1000000000000002       2        00051180591202303300
01000163030312401052021104921123388151960020000282       8888881   600005A    1000000000000002       2        00049389691202303300
01000163050323102022023404611123424191960030000312       0220251   600005A    1000000000000002       2        00057135161202303300
01000164030322701032019110221121360193260040000542       0320241   600005A    1000000000000002       2        00057135161202303300
01000165020224001042023204611123124191960030000052       0420251  1000005AE   0500000000000502       2        00051180591202303300
01000166030323501042023104611122224191960020000052       0420251   500005A    1000000000000002       2        00051180591202303300
010001670202132050120232100912500061310301000003010720232      1  1500001ABC  050025025000000103000002        00055050421202303300
01000168050313001042019410421123388142810020000532       8888881   150005A    1000000000000002       2        00055050421202303300
01000169020426701122022310424 500032             10320234      2                             2       2        00055632542202303300
01000169030426003072023110094 500032             2       1020232                             2       2        00042361302202303300
01000170030324401062022410091122124191810025000152       0620241   750005A    1000000000000002       2        00049065311202303300
01000171030313202052023210221123212122860060000282       0520242                             2       2        00055050421202303300
01000171040523202052023210221123212122860060000282       0520242                             2       2        00054773791202303300
01000172030324302082023204911123528191960021000242       1220251   350001ACD  0300000400300002       10006800000060193521202303300
01000173020224002042022210521150036152560030000242       0420251   800001ABCD 0200400200200002       2        00060193521202303300
01000174050313201062023410511123524151560030000032       0620251   330001ABCD 0250300250200002       2        00052528061202303300
01000175020224601112018210111123488191960020000582       8888881   900005A    1000000000000002       2        00055388421202303300
01000176010128201112019310244 214002             11120194      2                             2       2        00058614892202303300
01000177020214803052019210211123359121290030000042       0420241  1200001A    1000000000000002       2        00054003491202303300
01000178020323601112019410411123288152470019500462       8888881   280005A    1000000000000002       2        00057832981202303300
010001790101263011120193100911233361919600200003611120222      2                             2       2        00049931012202303300
01000180060323201062023404611123524191960030000032       0620251   600005AE   0500000000000502       2        00064561531202303300
01000181030314601012023210411140012141820030000082       0120241   400005A    1000000000000002       2        00060414861202303300
01000181040523802062021209091123436191960020000512       0620241   300005A    1000000000000002       2        00057832981202303300
01000182020214601032021209411121336193250045000302       0320241  1200005A    1000000000000002       2        00060414861202303300
01000183020223802042022204611123324191960020000432       0420241   600005A    1000000000000002       2        00053298291202303300
01000184030322501022019104941123458194560020000552       1220231   190005AC   0800000200000002       2        00060138231202303300
01000185030323901122022110911122212191960020000092       1220231   300005A    1000000000000002       2        00053111931202303300
01000186020213701102021204831121224172500080000232       1020231  1800005ACD  0500000300200002       2        00059729471202303300
01000187040214501062020210331123548133560054000392       0620241   600005A    1000000000000002       2        00212218021202305500
01000188060513101052021204811121336181260062000282       0520241   300005A    1000000000000002       2        00213412481202305500
01000189020222801042023204521122225191960022000052       0520252                             2       2        00234416581202305500
010001900202248051220182049111211601919600200005710320234      1  1100005E    0000000000001002       2        00197842922202305500
01000191030323901112018108521123560153860050000582       1120231   900001AC   0700000300000002       2        00193570071202305500
01000192020214601032022204751121425175100040000182       0420241   600005ACD  0800000100100002       2        00154480181202305500
010001930303226011020191100911211241919600300002411020212      2                             2       2        00213955312202305500
01000194040224701062022204521123124191960022000152       0620241  1020005AB   0750250000000002       2        00211150201202305500
01000195070323602012022209521121125191550030000362       0220241   200006A    1000000000000002       2        00172594991202305500
01000196030716701072023202134 400062             2       0120242                             2       2        00136510542202305500
01000196040726401072023208524 400032             2       1020232                             2       2        00136998082202305500
01000197010125001082023111244 214002             10820231      2                             100000002        00209854812202305500
01000197020425502072022210221123324122860040000552       0720242                             2       2        00163755521202305500
01000197030425202072022110221123424122860040000552       0720241  1200001A    1000000000000002       2        00209854811202305500
